variable,dtype,status,iv_continuous,explained_variance,anova_f
Deal Size Category (USD),categorical,OPTIMAL,1.4448976895341672,0.6739877657409704,32258.820970236873
Total Days Identified Through Qualified,numerical,OPTIMAL,0.26634691724175563,0.02185036403934626,174.2713218403855
Total Days Identified Through Closing,numerical,OPTIMAL,0.26224192339030966,0.020669647239551336,164.65555828032058
Route To Market,categorical,OPTIMAL,0.32150673661556417,0.01969792287480232,1567.7729062532758
Supplies Subgroup,categorical,OPTIMAL,0.2502683092866237,0.018889872859940704,214.58654263846404
Competitor Type,categorical,OPTIMAL,0.19090082278870177,0.013289998371309397,1050.891894490879
Opportunity Result,categorical,OPTIMAL,0.2053922327954233,0.011483282192726985,906.3682084310601
Ratio Days Identified To Total Days,numerical,OPTIMAL,0.20577346471828944,0.010199778393252923,200.99680038204855
Ratio Days Validated To Total Days,numerical,OPTIMAL,0.20321877260076465,0.009202235554601979,120.76800454174138
Ratio Days Qualified To Total Days,numerical,OPTIMAL,0.12789616671182555,0.005016744644861348,98.34497592936044
Sales Stage Change Count,numerical,OPTIMAL,0.1555162833551333,0.00493303869944961,96.69592457074667
Client Size By Revenue (USD),categorical,OPTIMAL,0.09230844778883535,0.004104116518365952,107.17561952359618
Client Size By Employee Count,categorical,OPTIMAL,0.08181816957208382,0.0037839413133592403,74.0861128201166
Region,categorical,OPTIMAL,0.11027673758057459,0.0031192702400463235,40.68678400583492
Revenue From Client Past Two Years (USD),categorical,OPTIMAL,0.055681680081190114,0.002483053376476474,194.21752607671573
Supplies Group,categorical,OPTIMAL,0.09359357674704774,0.0018142545701195223,141.81086533494374
Elapsed Days In Sales Stage,numerical,OPTIMAL,0.030929913171075296,0.0006322687120920989,16.45381562819621
