age_bucket,n_rows,r2_oof_mean,r2_oof_std,mae_oof_mean,mae_oof_std
0-15,11752,0.10752065477794522,0.017488687884821195,77870.26601494905,2222.1665460057384
16-30,18370,0.12306852080080129,0.012319806716484864,75214.7847040845,1473.8009750065899
31-45,13018,0.10705645007330977,0.010382723444710735,75737.47720037789,2469.874793565643
46-60,10814,0.11986737038006796,0.010208582246686537,75927.97859727654,2021.4774099735846
61-75,11744,0.14709942757684796,0.013431540484120806,70804.50343414921,1793.153501829312
76-90,10649,0.13618790740074346,0.015433425544433185,68293.04538040659,1580.0199949852502
91-120,1640,0.09081598290860311,0.032183993752472176,82185.32097452432,2814.392943220249
121+,38,,,,
