pwin_bin,count,mean,std,cv,pwin_left,pwin_right,rolling_range_3,forward_range
"(-0.000999757, 0.03]",7803,133978.70549788544,146833.71768239714,1.0959481742769532,-0.000999757,0.03,,0.67844905600147
"(0.03, 0.0674]",7802,121124.24468085106,141073.6791151788,1.164702240141041,0.03,0.0674,,0.6096949901373823
"(0.0674, 0.117]",7803,107901.84992951428,140017.76528304696,1.2976400810042836,0.0674,0.117,0.2016919067273304,0.4767571492741396
"(0.117, 0.189]",7802,89916.8966931556,128333.73533305914,1.4272482709340188,0.117,0.189,0.2625460307929779,0.3471489593444044
"(0.189, 0.286]",7803,91216.92182493913,134978.47965472625,1.479752626533189,0.189,0.286,0.18211254552890543,0.29464460374523416
"(0.286, 0.406]",7802,89244.53973340169,137855.09907008024,1.5446894508268163,0.286,0.406,0.11744117989279745,0.22970777945160692
"(0.406, 0.553]",7802,72723.1531658549,116189.34647395324,1.5976940137478342,0.406,0.553,0.11794138721464509,0.17670321653058907
"(0.553, 0.736]",7804,69780.44643772424,116991.17159814129,1.6765609503881633,0.553,0.736,0.13187149956134703,0.09783627989025989
"(0.736, 0.87]",7801,68674.73464940392,121856.25895200798,1.7743972302784232,0.736,0.87,0.17670321653058907,0.021115438357126592
"(0.87, 1.0]",7803,71808.85825964373,125901.16368529056,1.7532817919212966,0.87,1.0,0.09783627989025989,0.0
